Name,Ukrainian,Russian
BOHODUKHIVSKYI,93.65,5.55
BORIVSKYI,91.52,8.14
VALKIVSKYI,94.23,5.23
VELYKOBURLUTSKYI,71.82,27.32
VOVCHANSKYI,85.72,13.16
ZMIIVSKYI,76.38,22.49
DVORICHANSKYI,84.17,15.02
DERHACHIVSKYI,78.08,21.26
ZACHEPYLIVSKYI,83.95,14.89
ZOLOCHIVSKYI,85.66,13.34
IZIUMSKYI,91.67,7.47
KEHYCHIVSKYI,92.05,5.45
KOLOMATSKYI,94.01,4.46
KRASNOHRADSKYI,77.16,21.9
KRASNOKUTSKYI,94.92,4.35
KUPIANSKYI,88.94,10.38
LOZIVSKYI,88.51,10.74
NOVOVODOLAZKYI,77.69,21.52
PERVOMAISKYI,58.16,41.17
PECHENIZKYI,92.75,6.87
SAKHNOVSHCHYNSKYI,94.4,4.54
KHARKIVSKYI,63.88,35.16
CHUHUIVSKYI,45.23,53.87
SHEVCHENKIVSKYI,91.23,7.75
KHERSON,56.2,42.52
KAKHOVKA,73.85,25.27
NOVAKAKHOVKA,58.84,40.3
BILOZERSKYI,87.83,10.61
BERYSLAVSKYI,89.91,9.04
VELYKOOLEKSANDRIVSKYI,94.53,4.32
VELYKOLEPETYSKYI,90.66,8.5
VERKHNOROHACHYTSKYI,93.4,5.66
VYSOKOPILSKYI,94.25,4.93
HENICHESKYI,46.02,45.0
HOLOPRYSTANSKYI,86.56,11.86
HORNOSTAIVSKYI,94.0,4.73
IVANIVSKYI,90.15,7.05
KALANCHATSKYI,88.78,9.55
KAKHOVSKYI,88.06,11.02
NYZHNOSIROHOZKYI,80.3,17.45
NOVOVORONTSOVSKYI,95.6,3.76
NOVOTROITSKYI,87.15,10.67
SKADOVSKYI,80.56,17.72
TSIURUPYNSKYI,82.12,16.74
CHAPLYNSKYI,83.78,8.93
KHMELNYTSKYI,88.39,10.36
KAMIANETS-PODILSKYI,91.22,7.08
NETISHYN,87.66,11.41
SLAVUTA,92.34,7.23
SHEPETIVKA,93.46,5.69
STAROKOSTIANTYNIV,92.01,7.46
BILOHIRSKYI,99.01,0.83
VINKOVETSKYI,97.19,2.58
VOLOCHYSKYI,98.46,1.32
HORODOTSKYI,98.46,0.98
DERAZHNIANSKYI,98.15,1.37
DUNAIEVETSKYI,98.43,1.28
IZIASLAVSKYI,97.0,2.77
KAMIANETS-PODILSKYI,98.59,1.19
KRASYLIVSKYI,98.35,1.39
LETYCHIVSKYI,98.22,1.54
NOVOUSHYTSKYI,96.48,3.29
POLONSKYI,98.38,1.38
SLAVUTSKYI,98.84,1.05
STAROKOSTIANTYNIVSKYI,98.6,1.12
STAROSYNIAVSKYI,98.66,0.79
TEOFIPOLSKYI,98.88,0.77
KHMELNYTSKYI,95.82,1.96
CHEMEROVETSKYI,99.12,0.76
SHEPETIVSKYI,97.9,1.74
YARMOLYNETSKYI,98.11,1.45
CHERKASY,79.07,18.67
VATUTINE,91.87,7.79
KANIV,88.43,11.24
ZOLOTONOSHA,92.79,6.32
SMILA,89.1,10.13
UMAN,93.27,6.38
HORODYSHCHENSKYI,97.56,1.99
DRABIVSKYI,98.01,1.56
ZHASHKIVSKYI,98.11,1.5
ZVENYHORODSKYI,97.64,2.02
ZOLOTONISKYI,96.5,2.96
KAMIANSKYI,96.78,2.97
KANIVSKYI,96.95,2.75
KATERYNOPILSKYI,98.01,1.6
KORSUN-SHEVCHENKIVSKYI,96.57,2.5
LYSIANSKYI,98.29,1.42
MANKIVSKYI,98.12,1.59
MONASTYRYSHCHENSKYI,98.38,1.29
SMILIANSKYI,96.97,2.67
TALNIVSKYI,97.66,1.77
UMANSKYI,97.34,2.18
KHRYSTYNIVSKYI,97.09,2.25
CHERKASKYI,96.84,2.91
CHORNOBAIVSKYI,97.29,2.27
CHYHYRYNSKYI,95.46,3.63
SHPOLIANSKYI,97.74,1.8
CHERNIHIV,74.01,24.5
NIZHYN,89.54,8.89
PRYLUKY,92.91,6.77
BAKHMATSKYI,97.09,2.51
BOBROVYTSKYI,97.88,1.75
BORZNIANSKYI,98.43,1.39
VARVYNSKYI,96.98,2.71
HORODNIANSKYI,92.46,6.99
ICHNIANSKYI,97.83,2.0
KOZELETSKYI,95.77,3.84
KOROPSKYI,97.8,2.02
KORIUKIVSKYI,96.93,2.81
KULYKIVSKYI,97.97,1.71
MENSKYI,97.54,2.14
NIZHYNSKYI,98.51,1.34
NOVHOROD-SIVERSKYI,63.93,35.93
NOSIVSKYI,97.92,1.71
PRYLUTSKYI,97.23,2.44
RIPKYNSKYI,87.64,11.4
SEMENIVSKYI,80.37,19.39
SOSNYTSKYI,98.4,1.44
SRIBNIANSKYI,98.32,1.54
TALALAIVSKYI,97.95,1.89
CHERNIHIVSKYI,95.42,4.04
SHCHORSKYI,89.36,10.3
CHERNIVTSI,79.2,15.27
NOVODNISTROVSK,85.67,13.37
VYZHNYTSKYI,98.52,1.03
HERTSAIVSKYI,4.83,1.21
HLYBOTSKYI,52.56,1.15
ZASTAVNIVSKYI,99.22,0.59
KELMENETSKYI,97.75,1.32
KITSMANSKYI,98.83,0.9
NOVOSELYTSKYI,34.08,1.78
PUTYLSKYI,99.47,0.37
SOKYRIANSKYI,90.42,6.4
STOROZHYNETSKYI,61.42,1.81
KHOTYNSKYI,91.57,1.27
KYIV,72.15,25.27
HOLOSIIVSKYI,75.93,22.17
DARNYTSKYI,77.91,20.53
DESNIANSKYI,74.74,23.42
DNIPROVSKYI,71.9,27.1
OBOLONSKYI,70.31,23.6
PECHERSKYI,60.23,30.67
PODILSKYI,73.94,25.03
SVIATOSHYNSKYI,77.16,21.51
SOLOMIANSKYI,67.51,30.47
SHEVCHENKIVSKYI,64.65,32.14
SEVASTOPOL,6.76,90.56
SEVASTOPOL,6.48,91.41
BALAKLAVSKYI,8.64,89.29
HAHARINSKYI,6.27,91.56
LENINSKYI,5.95,91.52
NAKHIMOVSKYI,6.80,91.7
INKERMAN,5.23,91.17
KACHA,5.14,94.04
VYSHNEVE,6.58,74.84
ORLIVKA,15.15,76.09
OSYPENKO,12.35,83.88
POLIUSHKO,13.35,53.42
ORLYNIVSKA,12.42,74.71
ORLYNE,7.74,75.35
HONCHARNE,26.09,62.42
KYZYLOVE,15.15,84.85
KOLKHOZNE,0.0,88.89
NOVOBOBRIVSKE,12.50,65.54
OZERNE,1.66,98.34
PAVLIVKA,17.56,77.52
PEREDOVE,17.22,69.61
PIDHIRNE,1.61,82.26
REZERVNE,19.40,78.36
RODNYKIVSKE,6.41,79.03
ROZSOSHANKA,1.64,95.9
TYLOVE,9.97,81.44
SHYROKE,16.51,69.5
TERNIVSKA,13.94,68.91
TERNIVKA,13.39,73.62
RIDNE,15.37,56.64
ANDRIIVSKA,13.53,85.14
ANDRIIVKA,5.52,93.89
SONIACHNYI,21.20,76.77
VERKHNOSADIVSKA,10.52,81.43
VERKHNOSADOVE,9.48,83.54
DALNIE,15.67,83.37
KAMYSHLY,16.67,50.0
PYROHOVKA,6.34,89.43
POVOROTNE,14.22,71.55
FRONTOVE,11.95,70.68
FRUKTOVE,8.08,91.73
