Name ,Ukrainian,Russian
VESELYNIVSKYI RAION,676.0,365
VOZNESENSKYI RAION,866.0,1092
VRADIIVSKYI RAION,470.0,104
DOMANIVSKYI RAION,449.0,149
YELANETSKYI RAION,444.0,185
ZHOVTNEVYI RAION,1038.0,4477
KAZANKIVSKYI RAION,583.0,1265
KRYVOOZERSKYI RAION,364.0,115
MYKOLAIVSKYI RAION,840.0,1065
NOVOBUZKYI RAION,753.0,356
NOVOODESKYI RAION,662.0,606
OCHAKIVSKYI RAION,406.0,630
PERVOMAISKYI RAION,743.0,416
SNIHURIVSKYI RAION,838.0,1413
m. ODESA,9635.0,368742.0
m. IZMAIL,697.0,26443.0
m. KOTOVSK,660.0,6805.0
m. TEPLODAR,118.0,1587.0
m. YUZHNE,247.0,6124.0
BILHOROD-DNISTROVSKYI (miskrada),732.0,15709.0
ILLICHIVSK (miskrada),630.0,19428.0
ANANIVSKYI RAION,748.0,602.0
ARTSYZKYI RAION,541.0,10816.0
BALTSKYI RAION,586.0,1207.0
BEREZIVSKYI RAION,912.0,852.0
BILHOROD-DNISTROVSKYI RAION,1438.0,3077.0
BILIAIVSKYI RAION,2357.0,6398.0
BOLHRADSKYI RAION,134.0,6450.0
VELYKOMYKHAILIVSKYI RAION,590.0,494.0
IVANIVSKYI RAION,900.0,2925.0
IZMAILSKYI RAION,288.0,3132.0
KILIISKYI RAION,512.0,8722.0
KODYMSKYI RAION,463.0,348.0
KOMINTERNIVSKYI RAION,1563.0,5737.0
KOTOVSKYI RAION,841.0,947.0
KRASNOOKNIANSKYI RAION,1171.0,288.0
LIUBASHIVSKYI RAION,1053.0,243.0
MYKOLAIVSKYI RAION,373.0,122.0
OVIDIOPOLSKYI RAION,968.0,8096.0
RENIISKYI RAION,165.0,9403.0
ROZDILNIANSKYI RAION,1381.0,8812.0
SAVRANSKYI RAION,298.0,136.0
SARATSKYI RAION,591.0,2974.0
TARUTYNSKYI RAION,334.0,8773.0
TATARBUNARSKYI RAION,845.0,788.0
FRUNZIVSKYI RAION,572.0,181.0
SHYRIAIVSKYI RAION,566.0,316.0
m. POLTAVA,4979.0,14578
m. KREMENCHUK,3321.0,23714
m. LUBNY,848.0,926
m. MYRHOROD,618.0,1440
KOMSOMOLSK (miskrada),712.0,4156
VELYKOBAHACHANSKYI RAION,262.0,180
HADIATSKYI RAION,544.0,312
HLOBYNSKYI RAION,753.0,373
HREBINKIVSKYI RAION,268.0,210
DYKANSKYI RAION,288.0,205
ZINKIVSKYI RAION,302.0,206
KARLIVSKYI RAION,720.0,210
KOBELIATSKYI RAION,680.0,311
KOZELSHCHYNSKYI RAION,259.0,169
KOTELEVSKYI RAION,147.0,123
KREMENCHUTSKYI RAION,509.0,475
LOKHVYTSKYI RAION,500.0,269
LUBENSKYI RAION,310.0,139
MASHIVSKYI RAION,338.0,199
MYRHORODSKYI RAION,268.0,191
NOVOSANZHARSKYI RAION,416.0,257
ORZHYTSKYI RAION,254.0,109
PYRIATYNSKYI RAION,333.0,380
POLTAVSKYI RAION,922.0,747
RESHETYLIVSKYI RAION,323.0,184
SEMENIVSKYI RAION,264.0,107
KHOROLSKYI RAION,359.0,226
CHORNUKHYNSKYI RAION,81.0,58
CHUTIVSKYI RAION,385.0,182
SHYSHATSKYI RAION,250.0,111
m. RIVNE,4153.0,4127
m. DUBNO,504.0,208
m. KUZNETSOVSK,461.0,938
m. OSTROH,371.0,53
BEREZNIVSKYI RAION,119.0,45
VOLODYMYRETSKYI RAION,101.0,107
HOSHCHANSKYI RAION,129.0,39
DEMYDIVSKYI RAION,55.0,19
DUBENSKYI RAION,168.0,45
DUBROVYTSKYI RAION,185.0,68
ZARICHNENSKYI RAION,155.0,18
ZDOLBUNIVSKYI RAION,668.0,173
KORETSKYI RAION,206.0,48
KOSTOPILSKYI RAION,471.0,163
MLYNIVSKYI RAION,177.0,37
OSTROZKYI RAION,69.0,26
RIVNENSKYI RAION,632.0,257
RADYVYLIVSKYI RAION,180.0,39
ROKYTNIVSKYI RAION,8234.0,67
SARNENSKYI RAION,533.0,423
SUMY (miskrada),4689.0,26907
HLUKHIV (miskrada),368.0,3133
KONOTOP (miskrada),1156.0,5249
LEBEDYN (miskrada),386.0,355
OKHTYRKA (miskrada),773.0,1429
ROMNY (miskrada),677.0,677
m. SHOSTKA,531.0,23563
BILOPILSKYI RAION,876.0,552
BURYNSKYI RAION,312.0,174
VELYKOPYSARIVSKYI RAION,493.0,507
HLUKHIVSKYI RAION,155.0,2858
KONOTOPSKYI RAION,317.0,198
KRASNOPILSKYI RAION,802.0,239
KROLEVETSKYI RAION,395.0,402
LEBEDYNSKYI RAION,310.0,223
LYPOVODOLYNSKYI RAION,137.0,98
NEDRYHAILIVSKYI RAION,131.0,155
OKHTYRSKYI RAION,318.0,189
PUTYVLSKYI RAION,363.0,3554
ROMENSKYI RAION,333.0,201
SEREDYNO-BUDSKYI RAION,21.0,14526
SUMSKYI RAION,1057.0,723
TROSTIANETSKYI RAION,966.0,514
SHOSTKYNSKYI RAION,219.0,2362
YAMPILSKYI RAION,268.0,3366
m. TERNOPIL,2575.0,1221
BEREZHANSKYI RAION,135.0,62
BORSHCHIVSKYI RAION,353.0,69
BUCHATSKYI RAION,124.0,13
HUSIATYNSKYI RAION,296.0,54
ZALISHCHYTSKYI RAION,113.0,14
ZBARAZKYI RAION,243.0,308
ZBORIVSKYI RAION,90.0,10
KOZIVSKYI RAION,71.0,11
KREMENETSKYI RAION,423.0,87
LANOVETSKYI RAION,104.0,39
MONASTYRYSKYI RAION,54.0,20
PIDVOLOCHYSKYI RAION,1791.0,25
PIDHAIETSKYI RAION,33.0,...
TEREBOVLIANSKYI RAION,303.0,41
TERNOPILSKYI RAION,218.0,23
CHORTKIVSKYI RAION,554.0,127
SHUMSKYI RAION,135.0,31
m. KHARKIV,14568.0,471179
m. IZIUM,824.0,6528
KUPIANSK (miskrada),959.0,6679
LOZOVA (miskrada),1497.0,3300
LIUBOTYN (miskrada),280.0,1341
PERVOMAISKYI (miskrada),494.0,5338
CHUHUIV (miskrada),369.0,10302
BALAKLIISKYI RAION,1414.0,8969
BARVINKIVSKYI RAION,535.0,625
BLYZNIUKIVSKYI RAION,678.0,262
BOHODUKHIVSKYI RAION,778.0,541
BORIVSKYI RAION,443.0,303
VALKIVSKYI RAION,485.0,409
VELYKOBURLUTSKYI RAION,666.0,1209
VOVCHANSKYI RAION,1272.0,1395
DVORICHANSKYI RAION,581.0,580
DERHACHIVSKYI RAION,1771.0,4581
