,,,,
Name,Ukrainian,Russian,,1
IZIUMSKYI RAION,414,359,,
KEHYCHIVSKYI RAION,742,231,,
KOLOMATSKYI RAION,113,67,,
KRASNOHRADSKYI RAION,924,1939,,
KRASNOKUTSKYI RAION,497,273,,
KUPIANSKYI RAION,544,680,,
LOZIVSKYI RAION,627,812,,
NOVOVODOLAZKYI RAION,505,1246,,
PERVOMAISKYI RAION,305,1952,,
PECHENIZKYI RAION,123,141,,
SAKHNOVSHCHYNSKYI RAION,648,176,,
KHARKIVSKYI RAION,2779,26405,,
CHUHUIVSKYI RAION,401,7142,,
SHEVCHENKIVSKYI RAION,549,410,,
SEVASTOPOL (miskrada),486,72396,,
m. UZHHOROD,3109,3980,,
m. MUKACHEVE,2003,1904,,
KHUST (miskrada),676,184,,
BEREHOVE (miskrada),209,286,,
BEREHIVSKYI RAION,115,74,,
VELYKOBEREZNIANSKYI RAION,760,22,,
VYNOHRADIVSKYI RAION,1379,240,,
VOLOVETSKYI RAION,87,25,,
IRSHAVSKYI RAION,443,79,,
MIZHHIRSKYI RAION,76,13,,
MUKACHIVSKYI RAION,653,93,,
PERECHYNSKYI RAION,379,63,,
RAKHIVSKYI RAION,953,150,,
SVALIAVSKYI RAION,1744,154,,
TIACHIVSKYI RAION,727,187,,
UZHHORODSKYI RAION,764,473,,
KHUSTSKYI RAION,214,50,,
m. LUTSK,2597,2858,,
NOVOVOLYNSK (miskrada),642,514,,
m. KOVEL,654,597,,
m. VOLODYMYR-VOLYNSKYI,398,297,,
VOLODYMYR-VOLYNSKYI RAION,118,42,,
HOROKHIVSKYI RAION,166,41,,
IVANYCHIVSKYI RAION,124,42,,
KAMIN-KASHYRSKYI RAION,79,13,,
KIVERTSIVSKYI RAION,285,109,,
KOVELSKYI RAION,174,61,,
LOKACHYNSKYI RAION,73,21,,
LUTSKYI RAION,251,91,,
LIUBESHIVSKYI RAION,65,10,,
LIUBOMLSKYI RAION,97,49,,
MANEVYTSKYI RAION,124,52,,
RATNIVSKYI RAION,131,58,,
ROZHYSHCHENSKYI RAION,206,66,,
STAROVYZHIVSKYI RAION,68,24,,
TURIISKYI RAION,81,24,,
SHATSKYI RAION,117,28,,
m. POLTAVA,4979,14578,,
m. KREMENCHUK,3321,23714,,
m. LUBNY,848,926,,
m. MYRHOROD,618,1440,,
KOMSOMOLSK (miskrada),712,4156,,
VELYKOBAHACHANSKYI RAION,262,180,,
HADIATSKYI RAION,544,312,,
HLOBYNSKYI RAION,753,373,,
HREBINKIVSKYI RAION,268,210,,
DYKANSKYI RAION,288,205,,
ZINKIVSKYI RAION,302,206,,
KARLIVSKYI RAION,720,210,,
KOBELIATSKYI RAION,680,311,,
KOZELSHCHYNSKYI RAION,259,169,,
KOTELEVSKYI RAION,147,123,,
KREMENCHUTSKYI RAION,509,475,,
LOKHVYTSKYI RAION,500,269,,
LUBENSKYI RAION,310,139,,
MASHIVSKYI RAION,338,199,,
MYRHORODSKYI RAION,268,191,,
NOVOSANZHARSKYI RAION,416,257,,
ORZHYTSKYI RAION,254,109,,
PYRIATYNSKYI RAION,333,380,,
POLTAVSKYI RAION,922,747,,
RESHETYLIVSKYI RAION,323,184,,
SEMENIVSKYI RAION,264,107,,
KHOROLSKYI RAION,359,226,,
CHORNUKHYNSKYI RAION,81,58,,
CHUTIVSKYI RAION,385,182,,
SHYSHATSKYI RAION,250,111,,
KIROVOHRAD (miskrada),4543,22997,,
ZNAMIANKA (miskrada),633,2452,,
OLEKSANDRIIA (miskrada),2251,3675,,
SVITLOVODSK (miskrada),1004,3918,,
BOBRYNETSKYI RAION,547,128,,
VILSHANSKYI RAION,1496,77,,
HAIVORONSKYI RAION,486,260,,
HOLOVANIVSKYI RAION,346,245,,
DOBROVELYCHKIVSKYI RAION,837,274,,
DOLYNSKYI RAION,835,349,,
ZNAMIANSKYI RAION,436,346,,
KIROVOHRADSKYI RAION,743,684,,
KOMPANIIVSKYI RAION,276,82,,
MALOVYSKIVSKYI RAION,700,1937,,
NOVHORODKIVSKYI RAION,269,88,,
NOVOARKHANHELSKYI RAION,224,109,,
NOVOMYRHORODSKYI RAION,627,138,,
NOVOUKRAINSKYI RAION,783,259,,
OLEKSANDRIVSKYI RAION,236,143,,
OLEKSANDRIISKYI RAION,717,339,,
ONUFRIIVSKYI RAION,347,234,,
PETRIVSKYI RAION,590,335,,
SVITLOVODSKYI RAION,273,255,,
ULIANOVSKYI RAION,277,110,,
USTYNIVSKYI RAION,352,71,,
DONETSK (miskrada),4277,410247,,
ARTEMIVSK (miskrada),1255,42133,,
HORLIVKA (miskrada),1723,123460,,
DEBALTSEVE (miskrada),304,24183,,
DZERZHYNSK (miskrada),330,36689,,
