"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
116,240,"UKR","Ukraine",6,"Donets'k",116,"Artemivs'ka","Mis'ka Rada","Mis'ka Rada",NA,NA
117,240,"UKR","Ukraine",6,"Donets'k",117,"Artemivs'kyi","Raion","District",NA,"Artemivskyi"
118,240,"UKR","Ukraine",6,"Donets'k",118,"Dobropil's'ka","Mis'ka Rada","Mis'ka Rada",NA,"Dobropillia"
119,240,"UKR","Ukraine",6,"Donets'k",119,"Dobropil's'kyi","Raion","District",NA,"Dobropolskyi"
120,240,"UKR","Ukraine",6,"Donets'k",120,"Donets'ka","Mis'ka Rada","Mis'ka Rada",NA,"Donetsk"
121,240,"UKR","Ukraine",6,"Donets'k",121,"Dzerzhyns'ka","Mis'ka Rada","Mis'ka Rada",NA,"Dzerzhinsk-Don"
122,240,"UKR","Ukraine",6,"Donets'k",122,"Horlivs'ka","Mis'ka Rada","Mis'ka Rada",NA,"Gorlivka"
123,240,"UKR","Ukraine",6,"Donets'k",123,"Iasynuvats'ka","Misto","City",NA,NA
124,240,"UKR","Ukraine",6,"Donets'k",124,"Iasynuvats'kyi","Raion","District",NA,"Yasynuvatskyi"
125,240,"UKR","Ukraine",6,"Donets'k",125,"Ienakiievs'ka","Mis'ka Rada","Mis'ka Rada",NA,"Yenakiyeve"
126,240,"UKR","Ukraine",6,"Donets'k",126,"Khartsyz'ka","Mis'ka Rada","Mis'ka Rada",NA,"Khartsyzk"
127,240,"UKR","Ukraine",6,"Donets'k",127,"Kirovs'ka","Misto","City",NA,"Kirovske"
128,240,"UKR","Ukraine",6,"Donets'k",128,"Kostiantynivs'ka","Misto","City",NA,"Kostyantynivka"
129,240,"UKR","Ukraine",6,"Donets'k",129,"Kostiantynivs'kyi","Raion","District",NA,"Kostyantynivskyi"
