 , .1,Whole population
 ,MILOVSKYI RAION,17411.0
 ,MARKIVSKYI RAION,18987.0
 ,NOVOAIDARSKYI RAION,28574.0
 ,NOVOPSKOVSKYI RAION,38299.0
 ,PEREVALSKYI RAION,86631.0
 ,POPASNIANSKYI RAION,50533.0
 ,SVATIVSKYI RAION,42587.0
 ,SVERDLOVSKYI RAION,14227.0
 ,SLOVIANOSERBSKYI RAION,61834.0
 ,STANYCHNO-LUHANSKYI RAION,53038.0
 ,STAROBILSKYI RAION,57620.0
 ,TROITSKYI RAION,25701.0
 ,LVIV (miskrada),749768.0
 ,BORYSLAV (miskrada),40699.0
 ,DROHOBYCH (miskrada),97683.0
 ,CHERVONOHRAD (miskrada),85034.0
 ,m. SAMBIR,36218.0
 ,m. STRYI,62051.0
 ,m. TRUSKAVETS,22489.0
 ,BRODIVSKYI RAION,63850.0
 ,BUSKYI RAION,50871.0
 ,HORODOTSKYI RAION,73974.0
 ,DROHOBYTSKYI RAION,76338.0
 ,ZHYDACHIVSKYI RAION,80812.0
 ,ZHOVKIVSKYI RAION,109173.0
 ,ZOLOCHIVSKYI RAION,74686.0
 ,KAMIANKA-BUZKYI RAION,61832.0
 ,MYKOLAIVSKYI RAION,94506.0
 ,MOSTYSKYI RAION,61919.0
 ,PEREMYSHLIANSKYI RAION,47763.0
 ,PUSTOMYTIVSKYI RAION,112009.0
 ,RADEKHIVSKYI RAION,52439.0
 ,SAMBIRSKYI RAION,74598.0
 ,SKOLIVSKYI RAION,50310.0
 ,SOKALSKYI RAION,98123.0
 ,STAROSAMBIRSKYI RAION,82135.0
 ,STRYISKYI RAION,68449.0
 ,TURKIVSKYI RAION,54906.0
 ,YAVORIVSKYI RAION,123321.0
 ,m. MYKOLAIV,509102.0
 ,m. VOZNESENSK,42248.0
 ,m. OCHAKIV,17109.0
 ,m. PERVOMAISK,70746.0
 ,m. YUZHNOUKRAINSK,39460.0
 ,ARBUZYNSKYI RAION,24810.0
 ,BASHTANSKYI RAION,41509.0
 ,BEREZANSKYI RAION,25141.0
 ,BEREZNEHUVATSKYI RAION,23155.0
 ,BRATSKYI RAION,21263.0
 ,VESELYNIVSKYI RAION,27046.0
 ,VOZNESENSKYI RAION,36235.0
 ,VRADIIVSKYI RAION,21223.0
 ,DOMANIVSKYI RAION,29106.0
 ,YELANETSKYI RAION,18423.0
 ,ZHOVTNEVYI RAION,54763.0
 ,KAZANKIVSKYI RAION,24807.0
 ,KRYVOOZERSKYI RAION,28538.0
 ,MYKOLAIVSKYI RAION,34675.0
 ,NOVOBUZKYI RAION,34190.0
 ,NOVOODESKYI RAION,37543.0
