"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
162,240,"UKR","Ukraine",6,"Donets'k",162,"Zhdanivs'ka","UA.DT.ZH",NA,"","Mis'ka Rada","Mis'ka Rada","","Zhdanivka"
163,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",163,"Bohorodchans'kyi","UA.IF.BH",NA,"","Raion","District","","Bogorodchanskyi"
164,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",164,"Dolyns'kyi","UA.IF.DO",NA,"","Raion","District","","Dolynskyi-Ifr"
165,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",165,"Halyts'kyi","UA.IF.HA",NA,"","Raion","District","","Galytskyi"
166,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",166,"Horodenkivs'kyi","UA.IF.HO",NA,"","Raion","District","","Gorodenkivskyi"
167,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",167,"Iaremchans'ka","UA.IF.IA",NA,"","Mis'ka Rada","Mis'ka Rada","","Yaremcha"
168,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",168,"Ivano-Frankivs'ka","UA.IF.IV",NA,"","Mis'ka Rada","Mis'ka Rada","",""
169,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",169,"Kalus'kyi","UA.IF.KL",NA,"","Raion","District","","Kaluskyi-Raion"
170,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",170,"Kolomyis'kyi","UA.IF.KR",NA,"","Raion","District","","Kolomyyskyi"
171,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",171,"Kosivs'kyi","UA.IF.KO",NA,"","Raion","District","","Kosivskyi"
172,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",172,"Nadvirnians'kyi","UA.IF.NA",NA,"","Raion","District","","Nadvirnyanskyi"
173,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",173,"Rohatyns'kyi","UA.IF.RH",NA,"","Raion","District","","Rogatynskyi"
174,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",174,"Rozhniativs'kyi","UA.IF.RZ",NA,"","Raion","District","","Rozhnyativskyi"
175,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",175,"Sniatyns'kyi","UA.IF.SN",NA,"","Raion","District","","Snyatynskyi"
176,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",176,"Tlumats'kyi","UA.IF.TL",NA,"","Raion","District","","Tlumatskyi"
177,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",177,"Tysmenyts'kyi","UA.IF.TY",NA,"","Raion","District","","Tysmenetskyi"
178,240,"UKR","Ukraine",7,"Ivano-Frankivs'k",178,"Verkhovyns'kyi","UA.IF.VE",NA,"","Raion","District","","Verhovynskyi"
179,240,"UKR","Ukraine",8,"Kharkiv",179,"Balakliis'kyi","UA.KK.BL",NA,"","Raion","District","","Balakliya"
180,240,"UKR","Ukraine",8,"Kharkiv",180,"Barvinkivs'kyi","UA.KK.BR",NA,"","Raion","District","","Barvenkove"
181,240,"UKR","Ukraine",8,"Kharkiv",181,"Blyzniukivs'kyi","UA.KK.BZ",NA,"","Raion","District","","Blyznyuky"
